date,temperature,humidity,wind_speed,outlook
2021-09-19,25.31,91.25,5.85,rainy
2021-09-20,25.83,89.71,9.21,rainy
2021-09-21,26.58,86.92,7.9,rainy
2021-09-22,26.4,87.88,7.16,rainy
2021-09-23,26.49,89.0,5.97,rainy
2021-09-24,26.4,90.21,7.81,rainy
2021-09-25,26.46,89.17,8.03,rainy
2021-09-26,26.7,87.38,6.26,rainy
2021-09-27,27.67,83.96,9.07,rainy
2021-09-28,27.64,86.21,4.82,sunny
2021-09-29,27.4,85.58,4.59,rainy
2021-09-30,26.75,88.58,4.62,rainy
2021-10-01,26.85,88.25,4.79,rainy
2021-10-02,26.07,90.0,5.35,rainy
2021-10-03,26.23,88.92,2.85,rainy
2021-10-04,27.47,84.42,4.73,sunny
2021-10-05,26.71,86.58,4.79,rainy
2021-10-06,25.81,91.17,5.28,rainy
2021-10-07,25.96,90.83,8.75,rainy
2021-10-08,26.37,89.5,13.38,rainy
2021-10-09,26.74,88.21,12.48,rainy
2021-10-10,27.42,85.12,11.69,rainy
2021-10-11,26.52,89.58,10.42,rainy
2021-10-12,25.95,88.54,14.75,rainy
2021-10-13,26.12,87.92,12.58,rainy
2021-10-14,26.53,89.08,9.36,rainy
2021-10-15,26.75,86.88,5.81,rainy
2021-10-16,25.72,90.17,4.38,rainy
2021-10-17,25.66,88.54,7.23,rainy
2021-10-18,26.96,84.83,8.27,sunny
2021-10-19,27.15,86.33,9.31,sunny
2021-10-20,25.64,91.42,4.82,rainy
2021-10-21,26.64,85.29,6.99,rainy
2021-10-22,26.17,88.67,6.81,rainy
2021-10-23,25.93,88.0,6.4,rainy
2021-10-24,26.3,87.38,4.27,sunny
2021-10-25,26.7,86.17,5.2,rainy
2021-10-26,26.93,81.17,8.36,sunny
2021-10-27,26.12,85.33,7.86,rainy
2021-10-28,27.0,83.54,10.34,sunny
2021-10-29,26.78,85.29,7.25,rainy
2021-10-30,26.51,86.0,7.88,rainy
2021-10-31,26.2,87.33,6.4,rainy
2021-11-01,26.61,88.25,4.98,rainy
2021-11-02,26.85,83.04,7.09,sunny
2021-11-03,27.26,81.5,6.78,sunny
2021-11-04,27.26,81.08,8.75,sunny
2021-11-05,26.77,86.92,5.69,rainy
